fid;objectid;ccod_cact;iidtn_frt;llib_frt;cdom_frt;cinse_dep;layer;path;area;frt_com;area_ha;CodeINSEE;coordX;coordY;geo_shape
6689;"6551";"8620";F12559A;For�t communale de Bras-Sur-Meuse;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"152353";"1";"15";"55024";5.4267264235;49.2783791757;"MultiPolygon (((876333.8 6911433.6, 876344.1 6911465.9, 876357 6911505.8, 876386.6 6911528.9, 876398.6 6911538.2, 876407.2881"
6249;"6125";"8615";F11385W;For�t communale de Bar-Le-Duc;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"661307";"1";"66";"55029";5.1725779429;48.7706471400;"MultiPolygon (((857760.9 6852780.3, 857836.1 6852673.3, 857861 6852638.1, 857746.9 6852558, 857713.8 6852534.6, 857664.4 6852"
499;"4386";"8455";F04751S;For�t communale de Hauteroche;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"633495";"1";"63";"21314";4.5985613441;47.4836510561;"MultiPolygon (((818487 6709985, 818490.1 6709995.7, 818499 6710077.1, 818499.9 6710128.5, 818495.9 6710179, 818485.4 6710209."
2740;"4919";"8455";F21970Z;For�t communale de Hauteville;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"451646";"1";"45";"21315";4.9793998716;47.3892708778;"MultiPolygon (((849861 6699694.5, 849865.2 6699702.2, 849881.9 6699727.1, 849907.1 6699755.6, 849909 6699758, 849909.4 669975"
452;"4342";"8455";F04699S;For�t communale de Gurgy-La-Ville;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"3778315";"1";"378";"21312";4.9442489413;47.8572913477;"MultiPolygon (((844768.2 6750494.9, 844804.6 6750544, 844831.6 6750580.1, 844846.2 6750603, 844849.2 6750607.7, 844859.9 6750"
447;"4337";"8455";F04694N;For�t communale de Gurgy-Le-Ch�teau;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"9777711";"1";"978";"21313";4.9422567072;47.8288760893;"MultiPolygon (((850085.8 6748137.1, 850086.2 6748134.1, 850090 6748105.3, 850094.3 6748059.5, 850097.2 6748028.2, 850098.3 67"
6262;"6092";"8615";F11289E;For�t communale d'Ancerville;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"2471740";"1";"247";"55010";5.0126206216;48.6580468737;"MultiPolygon (((851123.9 6842147.1, 851113.4 6842160.1, 851112.7 6842161.1, 851081.7 6842204.8, 851078.7 6842210.9, 851075.7"
6381;"6223";"8615";F11633K;For�t communale d'Andernay;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"918784";"1";"92";"55011";4.9542173156;48.7762072804;"MultiPolygon (((843048.4 6854410.5, 843049.57 6854411.37, 843050 6854411.7, 843050.133333 6854411.788889, 843052.3 6854413.4,"
9725;"11567";"8765";F15642P;For�t communale d'Aigaliers;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"12414505";"1";"1241";"30001";4.3070449388;44.0775814357;"MultiPolygon (((807368 6331072.2, 807345 6331076.6, 807320.3 6331089.7, 807302.4 6331095.8, 807294.9 6331111.2, 807289 633112"
6850;"6756";"8625";F12825G;For�t communale de Pierrevillers;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"1048137";"1";"105";"57543";6.0857288273;49.2234297084;"MultiPolygon (((925176.4 6908258.5, 925130.080303 6908239.67221, 925135.253593 6908210.462281, 925158.4 6908212.7, 925168.3 6"
7001;"6925";"8625";F13011K;For�t communale de Pontpierre;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"935796";"1";"94";"57549";6.6315151257;49.0639658296;"MultiPolygon (((966137.2 6891159.7, 966140.4 6891106.2, 966093.9 6891085.4, 966080.036094 6891081.181711, 966041.5 6891068.9,"
6877;"6786";"8625";F12859O;For�t communale de Plesnois;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"381735";"1";"38";"57546";6.1068029490;49.1670796575;"MultiPolygon (((926477.7 6900952, 926479.3 6900951.6, 926497.4 6900949.7, 926515.9 6900947.6, 926500.2 6900899.3, 926517.4 69"
9627;"11445";"8765";F15511O;For�t communale de Saint-Martin D'Ard�che;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"5674806";"1";"567";"30005";4.5032914107;44.3211719522;"MultiPolygon (((822354.9 6357310, 822351.8 6357310.8, 822343.4 6357252.1, 822372.3 6357256.6, 822394.5 6357257.5, 822411.5 63"
3157;"5363";"8455";F22511U;For�t communale de Grosbois-En-Montagne;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"231912";"1";"23";"21310";4.5830379424;47.3235618563;"MultiPolygon (((819806.8 6691819.6, 819812.3 6691794.5, 819835.6 6691803.8, 819835.3 6691782.8, 819842.8 6691736.6, 819835.5"
